AE,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,,,,,,,
LC,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,,,,,,,
CR_0,0,1,0.95,0.8,1,1,0.1,0.95,0.75,0.6,0.9,0.95,0.3,0.9,0.55,0.15,0.55,0.75,0.5,0.5,0.35,0.05,0.5,0.5,0.9,0.1,0.1,0,0.25,0.25,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,
CR_1,1,0,0.05,0.2,0,0,0.9,0.05,0.25,0.4,0.1,0.05,0.7,0.1,0.45,0.85,0.45,0.25,0.5,0.5,0.65,0.95,0.5,0.5,0.1,0.9,0.9,1,0.75,0.75,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,
